unverified,7.31166E+17,🔥ca kkk grand wizard 🔥 endorses @hillaryclinton #neverhillary #trump2016 URL
unverified,7.14599E+17,an open letter to trump voters from his top strategist-turned-defector URL via @xojanedotcom
non-rumor,6.91809E+17,america is a nation of second chances —@potus on new reforms to solitary confinement: URL URL
non-rumor,6.93205E+17,"brandon marshall visits and offers advice, support to brother of fallen hero zaevion dobson: URL URL"
TRUE,5.511E+17,rip elly may clampett: so sad to learn #beverlyhillbillies star donna douglas has passed away. URL
non-rumor,7.67224E+17,"former 3 doors down guitarist matt roberts has died at age 38, according to his father. URL URL"
unverified,7.15516E+17,craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL
TRUE,5.14106E+17,just in: missing afghan soldiers found trying to enter canada near niagara falls URL URL
unverified,5.0032E+17,"the day #ferguson cops told a dirty, bloody lie (via @thedailybeast): URL URL"
FALSE,4.95367E+17,#riphulkhogan my heart is ripping like your shirt. wwe'll miss you.
FALSE,5.32207E+17,a chick-fil-a manager allegedly banned this hilarious list of slang words URL URL
FALSE,5.60188E+17,islamic tribunal using sharia law in texas has been confirmed URL @breitbartnews #a4a URL
FALSE,5.31569E+17,alpha male rt @marc_leibowitz: photo of vladimir putin's motorcade. posted without comment. URL
FALSE,4.89829E+17,เผยกบฏยูเครนอาจเข้าใจผิดคิดว่า #mh17 เป็นเครื่องบินทหารยูเครนรุกล้ำ / 14 ก.ค.ก็เพิ่งยิงตกไปลำ URL URL
unverified,5.24926E+17,"shooter still on loose after uniformed soldier shot at #ottawa's war memorial, across road from parliament. mp's being taken out of offices."
non-rumor,7.66989E+17,report: more american fifth-graders taking gap year to unwind before middle school URL URL
unverified,4.9953E+17,a woman in #ferguson was shot in head last night and released this selfie. conflicting reports of how it happened: URL
FALSE,5.20285E+17,"report: amazon plans to open its first physical store, in new york URL"
non-rumor,7.67515E+17,"‘keep it,’ says simone biles throwing gold medal to adoring men's gymnastics team URL #rio2016 URL"
TRUE,5.65999E+17,"let's let our friends know that a state senator in south carolina stated ""women are a lesser cut of meat"" #chewonthis URL"
FALSE,5.54344E+17,a traditional beer that authorities believe was poisoned with crocodile bile has killed 56 people in mozambique: URL
non-rumor,7.67715E+17,nothing to see here. just nuggets forward wilson chandler catching a 350-pound fish: URL URL
unverified,5.53467E+17,reports of shooting at dammartin en goele on route n2 north east of paris - french media says car chase under way
FALSE,5.53961E+17,"police chief helric fredou, one of the police officers investigating the case #charliehebdo, commits suicide. URL"
unverified,5.00303E+17,"reminder: forget the robbery, forget the minor looting. nothing justifies militarized police pointing sniper rifles at journalists #ferguson"
unverified,5.38901E+17,afghan woman picked up her dead son's gun and helped kill 25 taliban militants to save village URL URL
unverified,5.16421E+17,"from #ferguson to #hongkong. #hongkongdemocracy protests adopt ""hands up, don't shoot"" URL"
FALSE,8.00807E+16,seriously? racist mcdonald’s sign is obviously a hoax - URL
non-rumor,6.87946E+17,"several in critical condition - one in a coma - after clinical trial of new drug in france, health minister says URL"
FALSE,4.36089E+17,omfg read this its my personal experience with talking angela URL
FALSE,5.6859E+17,why did macklemore delete this tweet!? #macklemorejoinedisis URL
non-rumor,7.67361E+17,this is @jackalltimelow asking you to watch the #vma #weekendbrunch that's starting right now. 🙌 URL
TRUE,4.07232E+17,"paul walker died too fast, i'm furious.. :/"
FALSE,5.05369E+17,tupac was hiding for 18 years 😳 URL
unverified,5.76513E+17,putin reappears on tv amid claims he is unwell and under threat of coup URL URL
non-rumor,6.89215E+17,#eagles co-founder glenn frey has died aged 67
unverified,5.22782E+17,a passenger at dulles international airport has been spotted wearing a homemade hazmat suit (via @dailycaller) #ebola URL
FALSE,3.87233E+17,"if amber alert really had to shutdown b/c of lack of funds, as obama said, why did it go back up today after bad pr? #governmentshutdown"
non-rumor,6.93554E+17,how to raise a creative child step one: back off URL URL
unverified,7.06666E+17,".@berniesanders: in 2016, ""we will end institutional racism and reform a broken criminal justice system.” #demdebate"
unverified,5.31531E+17,iraqi officials say isis leader wounded in airstrike URL
FALSE,5.322E+17,no baes allowed: a chick-fil-a manager bans 22 hip words URL URL
unverified,5.03499E+17,"“key [foley beheading] suspect is abdel majed bary, 23, who left his $1m west london home last year….” URL"
unverified,5.53184E+17,"i am still confused as to why these ""highly trained"" individuals left their id in the getaway car. #charliehebdo"
non-rumor,6.92838E+17,"when you spend the whole day thinking it's friday, but it's not... URL"
unverified,5.80321E+17,"accident aircraft looks to be germanwings (airline code 4u or gwi) flight 9525, barcelona to dusseldorf. #4u9525 URL"
TRUE,5.14057E+17,"alaskan reporter says ""f*ck this,"" quits on live tv in marijuana legalization protest: URL URL"
non-rumor,6.93696E+17,"ex-president of el salvador, francisco flores, dies at 56, government says. URL URL"
unverified,5.50284E+17,"transgender teen leelah alcorn publishes suicide note on tumblr: ""my death needs to mean something"" URL"
TRUE,4.07167E+17,paul walker mourned by vin diesel and more 'fast & furious' co-stars URL #rippaulwalker URL
TRUE,5.09464E+17,"apparently microsoft are trying to buy mojang, the creators of minecraft, for around $2 billion... o_o"
unverified,4.99613E+17,"nearly 7k blacks were murdered last yr--almost all by other blacks. a tiny % were unarmed-killed-by-cop. where's al, jesse? #tcot #ferguson"
non-rumor,6.92892E+17,the las vegas raiders? URL URL
unverified,5.27131E+17,poster girl for kobane resistance reportedly beheaded. sickening. URL #rehana #kobane URL
unverified,7.26044E+17,"target boycott crosses 1 million signers, stock sinks by $1.5 billion URL"
unverified,7.30939E+17,ca grand dragon endorses hillary clinton on behalf of the kkk. #trump2016 URL URL
non-rumor,6.93806E+17,teenage girl 'made up' migrant rape claim that caused uproar in germany URL
non-rumor,6.92082E+17,.@potus's reforms to solitary confinement will expand treatment for the mentally ill: URL URL
FALSE,5.51117E+17,news saudi arabia's national airline planning to introduce gender segregation on flights URL URL
TRUE,4.07162E+17,"paul walker dies, millions cried. millions died of human hunger, no one simply gives a fk."
FALSE,5.61281E+17,islamic tribunal in texas operating under sharia law♨️wtf is this😡@lodisilverado @amymek #tcot URL URL
unverified,7.23366E+17,"landmarks around world turn purple, in honor of #prince. #princerip #purplerain URL"
FALSE,5.32107E+17,vladimir putin’s motorcade as seen from the air. URL URL
non-rumor,6.89719E+17,death toll from #bachakhanuniattack rises to at least 19; army official says firing has stopped as campus searched URL
FALSE,5.61953E+17,islamic tribunal in texas operating under sharia law♨️wtf is this😡@lodisilverado @amymek #tcot URL URL
FALSE,5.50039E+17,the president of argentina adopted a jewish teenager to stop him from becoming a werewolf URL URL
TRUE,5.19348E+17,"hp confirmed that it's splitting into two companies. and cutting 5,000 jobs. URL $hp URL"
FALSE,3.87007E+17,"by all means, let's turn over healthcare decision making to people willing to shut down the amber alert website out of spite."
unverified,5.25327E+17,video: hero sergeant-at-arms kevin vickers returns to parliament - and an incredible welcome URL URL
FALSE,4.50342E+17,"@dangerburgundy: @joerogan what...successful clone of dinosaurs URL  holy shit, is that real?"
FALSE,3.87282E+17,never thought i’d see the day when obama would play politics with kids. URL #pjnet URL
unverified,5.53503E+17,#charliehebdo shooting suspects tell police they 'prepared to die as martyrs' - french media URL URL
TRUE,5.24313E+17,google south american goliath birdeater. helllll noooooo✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋
TRUE,5.10906E+17,breaking news: isis beheads a british hostage david haines in message to america's partners. URL
unverified,5.50132E+17,"transgender teen leaves heartbreaking suicide note on tumblr begging us to ""fix society"" URL #leelahalcorn"
non-rumor,6.93122E+17,"forty percent of germans want angela merkel to resign over her refugee policy, poll shows: URL URL"
TRUE,5.24186E+17,puppy-sized spider surprises scientist in rainforest @livescience | URL URL
FALSE,5.32284E+17,"no, vladimir putin did not travel in a phallic motorcade formation URL URL"
TRUE,5.45271E+17,a texas plumbing company's truck somehow ended up in syria's civil war URL URL
unverified,5.16546E+17,"#hongkong’s protesters are using the “hands up, don’t shoot” gesture from #ferguson URL URL"
TRUE,4.07255E+17,"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report URL"
TRUE,5.24942E+17,"breaking news photo gallery: parliament hill attacked, soldier shot at national war memorial URL URL"
unverified,5.49928E+17,"a transgender 17-year old left a suicide note on tumblr pleading: ""fix society"" URL URL"
non-rumor,6.92046E+17,wind and solar could power most of the u.s. by 2030 without raising electricity prices URL URL
non-rumor,6.89651E+17,leonardo dicaprio is giving away $15 million to environmental causes: URL URL
FALSE,4.35999E+17,"what if talking angela is actually boris laursen he be like ""i just stole all your personal information what are you going to do about it"""
unverified,5.44524E+17,meet barak hussein obama's appointment for our next assistant director of homeland security: fatima noor URL
unverified,7.14531E+17,an open letter to @realdonaldtrump from his top strategist-turned-defector: URL URL
non-rumor,6.93596E+17,make way for leonardo dicaprio. #sagawards ❤ URL
TRUE,5.14452E+17,oregon police officers step in and make delivery after pizza hut driver gets injured in a car crash: URL #odd
TRUE,5.1552E+17,vaughn foods co-worker who witnessed murder tells #news9 murder suspect alton nolen was shouting islamic phrases. fbi investigating
non-rumor,7.6771E+17,"in a historic first, the international criminal court has classified destroying cultural artifacts as a war crime. URL"
FALSE,5.19929E+17,“@complexmag: someone spray painted a penis on a $2.4 million bugatti veyron: URL URL ” legendary
unverified,6.51809E+17,avoid 5p bag charge using these from @trolleybagsuk enter here to #win a set with @star100x URL URL
unverified,5.00377E+17,to be clear: an unarmed teenager possibly stealing a box of cigars does not warrant being shot to death by the police. #ferguson
non-rumor,6.75435E+17,'do you know me? do you know my heart?' muslims in new york share their experiences URL URL
FALSE,4.89834E+17,this is the surface-to-air missile ukraine says shot down malaysia airlines plane URL URL
FALSE,5.48672E+17,bobby shmurda stabbed to death in jail by cell mate URL URL
non-rumor,6.65317E+17,"breaking: police operation at bataclan concert venue over, two attackers killed: bfm tv URL"
non-rumor,6.93711E+17,zika fever: a newly emerging disease is threatening the americas URL URL
unverified,5.00327E+17,how many white celebrities have been caught shoplifting and end up dead in streets? i'll wait. #ferguson
non-rumor,6.93821E+17,"from @otlonespn: baylor faces accusations of ignoring sex assault claims against athletes, not supporting victims: URL"
FALSE,5.32282E+17,manager bans teen slang from work including 'chill'. adds stop accusing people of having ebola URL URL
non-rumor,7.67528E+17,japanese prime minister shinzo abe at #rio2016 closing ceremony is all our super mario dreams. URL
FALSE,4.96699E+17,justin bieber ringtone saves russian fisherman from potentially fatal bear attack.
non-rumor,6.90138E+17,"uk home secretary theresa may says litvinenko's murder was ""blatant and unacceptable"" breach of international law URL"
unverified,5.46028E+17,interested in growing your follower base on twitter? set up a followers campaign today. URL URL
unverified,5.22815E+17,"a passenger at an african airport? no, the man in a homemade hazmat suit is flying out of dulles, washington: #ebola URL"
unverified,5.31531E+17,breaking news: iraqi state tv confirms isis group leader al-baghdadi wounded in airstrike - URL URL
FALSE,3.76874E+17,"once again, jk rowling is not working on an eighth harry potter book. i expect this rumour originated from either the quibbler or trelawney."
unverified,5.0032E+17,"if we shot everyone in the street for stealing, imagine the carnage on wall st. #mikebrown #ferguson"
TRUE,5.17488E+17,"d.a. to seek death in #moore, #oklahoma beheading case. #altonnolen #kellyfile URL"
unverified,5.21771E+17,"#isis barbarians are using chemical weapons , against kurds in #kobane #airdrop2kobane #كوباني @barackobama #un URL"
unverified,5.53575E+17,more: official: gunman holding at least five hostages in paris market has threatened to kill them if police approach: URL
